SCALE,DPAWREGION,COMMUNITYNAME,COMMUNITYID,DESC,KNOWNOCC_NUM,KNOWNOCC_CAT,KNOWNOCC_NUMRELIAB,KNOWNOCC_TREND,KNOWNOCC_TRENDRELIAB,KNOWNOCC_NOTES,EOOAREA_RAW,EOOAREA_CAT,EOOAREA_METHOD,EOOAREA_TREND,EOOAREA_NOTES,AOOAREA_RAW,AOOAREA_CAT,AOOAREA_METHOD,AOOAREA_TREND,AOOAREA_NOTES,DEGABIOTIC_EXTENTCAT,DEGABIOTIC_EXTENTTREND,DEGABIOTIC_SEVERITYCAT,DEGABIOTIC_SEVERITYTREND,DEGABIOTIC_RELIAB,DEGABIOTIC_NOTES,DEGBIOTIC_EXTENTCAT,DEGBIOTIC_EXTENTTREND,DEGBIOTIC_SEVERITYCAT,DEGBIOTIC_SEVERITYTREND,DEGBIOTIC_RELIAB,DEGBIOTIC_NOTES,BIOTICCOMP,ABIOTICCOMP,WETLAND,STATUSEPBC,STATUSWA,YEARCURRENTTHREAT,LISTINGREASON,ENDEMISM,TENURE,MOSTRECENTSURVEY_COND,MOSTRECENTSURVEY_ANECDOTAL,NOTES1,PASTPRESSURES_CAT,PASTPRESSURES_SPECIFY,FUTURETHREATS_CAT,FUTURETHREATS_SPECIFY,RECOVERYPLANCOMMENCE,RECOVERYGOALS,RECOVERYTARGETS,CHANGECONSSTATUS,MANREQ_RESEARCH_CAT,MANREQ_RESEARCH_SPECIFY,MANREQ_EVALUATION,MANREQ_EVALUATION_SPECIFY,MANREQ_CONSPLAN_CAT,MANREQ_CONSPLAN_SPECIFY,MANREQ_DIRECT_CAT,MANREQ_DIRECT_SPECIFY,MANREQ_INDIRECT_CAT,MANREQ_INDIRECT_SPECIFY,MANREQ_OTHER_CAT,MANREQ_OTHER_SPECIFY,NOTES2,REFERENCES,FULLASSMENTCOND_CAT,FULLASSMENTCOND_YEAR,TT_LAST_UPDATED,TT_CHANGECONSSTATUS
Western Australia,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
PIL01,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,"Described as saltbush community of the duplex plains - Mosquito Creek series (Nullagine). Known to contain two endemic Acacias. One occurrence known on stony plains, and one on rocky ground.
Threats: preferential grazing, prospecting and mining, Worsening condition erosion",8,Less than or equal to 10 (potentially meets location criteria VU),Quantitative analysis of data not publically available,Increased (new knowledge - biological survey/mapping),Quantitative analysis of data not publically available,JM: mapped/defined since 2002,524500,"< 1,000,000ha (potentially meets extent of occurrence criteria for EN) ",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,183996,"< 200,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,Unknown,Unknown,Unknown,Unknown,-,,Unknown,Unknown,Unknown,Unknown,-,,Vascular plants,,,None,Priority 3,,,,,,2013,PEC boundary crosses covers PIL01 and PIL02 but very small area in PIL02. ,Mining ,,Mining ,,none,,,,IN vi) Occurrences and boundaries of ecological communities,,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP i) Threatened taxa recovery plan (specify),Acacia spp. endemic to community requires IRP,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
PIL01,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pastoralism (specify),,Pastoralism (specify),,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
PIL01,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
PIL01,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
PIL01,Pilbara,Stony saline plains of the Mosquito Land System,Mosquito Land system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,"(Does not include priority ecological communities �Roebourne Plains gilgai grasslands? and the �Chenopod association of the Roebourne Plains area?)
The Horseflat Land System of the Roebourne Plains are extensive, weakly gilgaied clay plains dominated by
tussock grasslands on mostly alluvial non-gilgaied, red clay loams or heavy clay loams. Perennial tussock
grasses include Eragrostis xerophila (Roebourne Plains grass) and other Eragrostis spp., Eriachne spp. and
Dichanthium spp. The community also supports a suite of annual grasses including Sorghum spp. and rare
Astrebela spp. The community extends from Cape Preston to Balla Balla surrounding the towns of Karratha
and Roebourne.
This community incorporates Unit 3 (Gilgai plains), Unit 5 (Alluvial Plains) with some Unit 7 (Drainage
Depressions) described in Van Vreeswyk et al. 2004.
Threats: grazing, weed invasion, fragmentation",62,Greater than 20 (does not meet IUCN location criteria),Quantitative analysis of data not publically available,Decreased (new knowledge - biological survey),Quantitative analysis of data not publically available,Number of occurrences recalc by Wendy Chow 11/5/14. Total for PEC is 62 occurrences but subregions don't sum to this number as some occur over subregion boundary. ,725234,"< 1,000,000ha (potentially meets extent of occurrence criteria for EN) ",Minimum convex polygon of records in DPaW corporate database,Increased (new knowledge - biological survey),JM: mapped/defined since 2002,264809,"< 500,000ha (potentially meets area of occupancy criteria for VU)",Sum of mapped polygons,Decreased (pressures > recovery actions),JM: I added the subregional areas. Trend from Pilbara workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,Vascular plants,,,None,Priority 3,,,,,,2010,"Extensive, weakly gilgaied clay plains dominated by tussock grasslands on mostly alluvial non-gilgaied, red clay loams or heavy clay loams. Perennial tussock grasses include Eragrostis xerophila (Roebourne Plains grass) and other Eragrostis spp, Eriachne spp. and Dichanthium spp.. The community also supports a suite of annual grasses including Sorghum spp. and rare Astrebela spp.",Urban development ,clearing for urban expansion (surrounds the towns of Karratha and Roebourne),Urban development ,clearing (surrounds the towns of Karratha and Roebourne),none,,,,IN vi) Occurrences and boundaries of ecological communities,boundaries of good condition areas require better mapping,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,CP xi) Other (specify),area management plan required,MD ii) Weed control or eradication,buffel grass control,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where possible,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Extensively grazed lnd system, no occurrence within secure tenure",Roads & rail,road construction,Roads & rail,road construction,,,,,,,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapped 2010 from land system mapping,Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: I added buffel grass as a threate to match the management action,Roads & rail,road construction,Roads & rail,road construction,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial development,clearing for industrial development,Industrial development,clearing for industrial development,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Weeds (specify dominant spp):,buffel grass,Weeds (specify dominant spp):,buffel grass,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
Western Australia,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utilities,,,,,,,,,,,,,,,,,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,"(Does not include priority ecological communities �Roebourne Plains gilgai grasslands? and the �Chenopod association of the Roebourne Plains area?)
The Horseflat Land System of the Roebourne Plains are extensive, weakly gilgaied clay plains dominated by
tussock grasslands on mostly alluvial non-gilgaied, red clay loams or heavy clay loams. Perennial tussock
grasses include Eragrostis xerophila (Roebourne Plains grass) and other Eragrostis spp., Eriachne spp. and
Dichanthium spp. The community also supports a suite of annual grasses including Sorghum spp. and rare
Astrebela spp. The community extends from Cape Preston to Balla Balla surrounding the towns of Karratha
and Roebourne.
This community incorporates Unit 3 (Gilgai plains), Unit 5 (Alluvial Plains) with some Unit 7 (Drainage
Depressions) described in Van Vreeswyk et al. 2004.
Threats: grazing, weed invasion, fragmentation",32,Refer to State level,Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Number of occurrences recalc by Wendy Chow 11/5/14. S&C original fig was 33,Refer to State level,N/A,,,,100930,"< 200,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Decreased (pressures > recovery actions),JM: Trend from Pilbara workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,Vascular plants,,,None,Priority 3,,,,,,2010,"Extensive, weakly gilgaied clay plains dominated by tussock grasslands on mostly alluvial non-gilgaied, red clay loams or heavy clay loams. Perennial tussock grasses include Eragrostis xerophila (Roebourne Plains grass) and other Eragrostis spp, Eriachne spp. and Dichanthium spp.. The community also supports a suite of annual grasses including Sorghum spp. and rare Astrebela spp.",Urban development ,clearing for urban expansion (surrounds the towns of Karratha and Roebourne),Urban development ,clearing (surrounds the towns of Karratha and Roebourne),none,,,,IN vi) Occurrences and boundaries of ecological communities,boundaries of good condition areas require better mapping,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD ii) Weed control or eradication,buffel grass control,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where possible,,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Extensively grazed lnd system, no occurrence within secure tenure",Roads & rail,road construction,Roads & rail,road construction,,,,,,,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: I added buffel grass as a threate to match the management action,Weeds (specify dominant spp):,buffel grass,Weeds (specify dominant spp):,buffel grass,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapped 2010 from land system mapping,,,Utilities,,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI iii) Habitat management through informal or complementary conservation mechanisms (specify),"liaison with proponents, LGAs & utilities",,,,,,,,
PIL01,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MI xii) Planning processes,DPaW input to planning processes,,,,,,,,
PIL04,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,48,Refer to State level,Quantitative analysis of data not publically available,Decreased (pressures > recovery actions),Quantitative analysis of data not publically available,Number of occurrences recalc by Wendy Chow 11/5/14. S&C original fig was 36,Refer to State level,N/A,,,,163879,"< 200,000ha (potentially meets area of occupancy criteria for EN)",Sum of mapped polygons,Decreased (pressures > recovery actions),JM: Trend from Pilbara workshop,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,> 70% area subject to pressures/threats (but still extant),Worsening condition (pressures > recovery actions),Very high severity,Worsening condition (pressures > recovery actions),Expert opinion,Pilbara workshop advised extent & severity = 80%,,,,None,Priority 3,,,,,,2010,"Extensive, weakly gilgaied clay plains dominated by tussock grasslands on mostly alluvial non-gilgaied, red clay loams or heavy clay loams. Perennial tussock grasses include Eragrostis xerophila (Roebourne Plains grass) and other Eragrostis spp, Eriachne spp. and Dichanthium spp.. The community also supports a suite of annual grasses including Sorghum spp. and rare Astrebela spp.",Pastoralism (specify),grazing by stock,Pastoralism (specify),grazing by stock,none,,,,IN vi) Occurrences and boundaries of ecological communities,boundaries of good condition areas require better mapping,EV iv) Develop/implement monitoring and evaluation and reporting plan ,,,,MD ii) Weed control or eradication,buffel grass control,MI i) Habitat protection through formal conservation reservation (specify),reservation of occurrences where possible,,,,,,,,
PIL04,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Notes from workshop: Extensively grazed lnd system, no occurrence within secure tenure",Roads & rail,road construction,Roads & rail,road construction,,,,,,,EV v) Compile and synthesis existing data on occurrences and state (specify source of data),,,,,,MI xi) Regulation - environmental impact assessment,,,,,,,,,
PIL04,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mapped 2010 from land system mapping,Industrial development,clearing for industrial development,Industrial development,clearing for industrial development,,,,,,,,,,,,,MI x) Regulation - Native vegetation clearing/pollution,,,,,,,,,
PIL04,Pilbara,Horseflat Land System of the Roebourne Plains,Horseflat Land System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JM: I added buffel grass as a threate to match the management action,Weeds (specify dominant spp):,buffel grass,Weeds (specify dominant spp):,buffel grass,,,,,,,,,,,,,MI xii) Assessment of compliance to approval/conditions/land use under legislation and/or enforcement of legislation,,,,,,,,,
